lag,minutes,acf,pacf,acf_ci_95,pacf_ci_95,acf_n_pairs,pacf_nobs,acf_conventional,pacf_conventional,acf_significant,pacf_significant,scale,label,bar_minutes,separation_value,separation_unit
9,135.0,0.016530217173076497,0.012647827340522564,0.024049532345188803,0.024049532345188803,6642,6642,0.011640872748932815,0.011551316912067741,False,False,15min,15 minutos,15.0,135,minutos
10,150.0,0.03188398066722722,0.02365485371368199,0.024507659840737408,0.024507659840737408,6396,6396,0.026804942019365535,0.026291352671280886,True,False,15min,15 minutos,15.0,150,minutos
11,165.0,0.011439256422440409,0.008641435860621424,0.02499300715208286,0.02499300715208286,6150,6150,0.005001839859172385,0.004425028786251768,False,False,15min,15 minutos,15.0,165,minutos
12,180.0,0.009746520361971057,0.00791192660194843,0.025508381108472325,0.025508381108472325,5904,5904,0.0038256933721692353,0.0038081580764800387,False,False,15min,15 minutos,15.0,180,minutos
13,195.0,-0.009500732308478506,-0.005384176765516825,0.026057011209204183,0.026057011209204183,5658,5658,-0.011169882707019694,-0.010194034353329991,False,False,15min,15 minutos,15.0,195,minutos
14,210.0,0.0017829516083999947,0.0026750883279949935,0.026642635143524804,0.026642635143524804,5412,5412,-0.0036246561130443902,-0.0022602291924566846,False,False,15min,15 minutos,15.0,210,minutos
15,225.0,0.011703524140462235,0.008091199433831736,0.02726960645690295,0.02726960645690295,5166,5166,-0.006308145843858045,-0.005775347431455495,False,False,15min,15 minutos,15.0,225,minutos
16,240.0,0.01009285327045555,0.006852444789403798,0.02794303147709785,0.02794303147709785,4920,4920,0.01275354430476327,0.013163002456289841,False,False,15min,15 minutos,15.0,240,minutos
17,255.0,-0.013538220112402199,-0.010203695520053652,0.028668945387136442,0.028668945387136442,4674,4674,-0.021275503633513576,-0.021804858806423733,False,False,15min,15 minutos,15.0,255,minutos
18,270.0,-0.0005015696403439256,-0.0006636592897314925,0.029454541399136124,0.029454541399136124,4428,4428,0.010951224415429537,0.010713432357505721,False,False,15min,15 minutos,15.0,270,minutos
19,285.0,0.005826518269248559,0.002970219784677676,0.030308473055839787,0.030308473055839787,4182,4182,-0.0040962159102085885,-0.004701468830142235,False,False,15min,15 minutos,15.0,285,minutos
20,300.0,0.007687738763008954,0.004296604237140802,0.031241258940103576,0.031241258940103576,3936,3936,0.0023941247713877064,0.0015069529541117455,False,False,15min,15 minutos,15.0,300,minutos
21,315.0,0.029600117271694107,0.01712030257280884,0.03226583349055326,0.03226583349055326,3690,3690,0.0036792614165880796,0.0026046234151421094,False,False,15min,15 minutos,15.0,315,minutos
22,330.0,-0.017268165120906714,-0.009461276536295643,0.033398310652958854,0.033398310652958854,3444,3444,-0.0004324141869077452,7.26852302675958e-05,False,False,15min,15 minutos,15.0,330,minutos
23,345.0,0.007018281791574379,0.004949679364360724,0.03465906492879729,0.03465906492879729,3198,3198,-0.008734565833973073,-0.008509628353167091,False,False,15min,15 minutos,15.0,345,minutos
24,360.0,0.0006014172258352269,-0.0002594126943960296,0.0360742985177832,0.0360742985177832,2952,2952,0.001728704071798059,0.002354062119667726,False,False,15min,15 minutos,15.0,360,minutos
25,375.0,0.007975013243930542,0.0055920607198937005,0.037678375957330826,0.037678375957330826,2706,2706,-0.003538508169307432,-0.003118066023951866,False,False,15min,15 minutos,15.0,375,minutos
26,390.0,0.054842366845726645,0.028608216919175655,0.03951741408873008,0.03951741408873008,2460,2460,0.01583017184017861,0.015401351381486551,True,False,15min,15 minutos,15.0,390,minutos
27,405.0,-0.0019626769011795446,-0.0031884486084472813,0.041655011920138096,0.041655011920138096,2214,2214,0.012380492738562163,0.012711810682647486,False,False,15min,15 minutos,15.0,405,minutos
